"UO";"EIXO";"ANO";"MES";"SIGLA";"FTE";"DS_FONTE_RECURSO";"CO";"DS_ACOMPANHAMENTO";"PROG";"NOME DO PROGRAMA";"PAOE";"NOME DA ACAO";"FUNCAO";"DS_FUNCAO";"SUBFUNCAO";"DS_SUBFUNCAO";"GR";"VL_ORCADO_INICIAL";"VL_PED";"VL_ORCADO_ATUAL";"VL_EMPENHADO";"VL_LIQUIDADO";"VL_PAGO";"VL_BLOQUEADO";"VL_CONTINGENCIADO";"VL_INDISPONIVEL";"SALDO"
"21101";4;2025;"valr_janeiro";"SEINF";"1700";"Outras Transferências de Convênios ou Instrumentos Congêneres da União";3120;"Emendas Parlamentares de Bancada - União";48;"Transmissão, Distribuição e Comercialização de Energia Elétrica";3450;"Execução e Gestão de Projetos de Infraestrutura em Energia Elétrica";25;"Energia";752;"Energia Elétrica";4;4011000;0;4011000;0;0;0;0;0;0;4011000
"25601";1;2025;"valr_janeiro";"FUEMP/RR ";"2500";"Recursos não Vinculados de Impostos - EA";0;"Código Padrão";4;"Defesa da Ordem Jurídica e dos Interesses Sociais e Individuais Indisponíveis";2249;"Operacionalização do Fundo Especial do MPE";3;"Essencial à Justiça";62;"Defesa do Interesse Público no Processo Judiciário";4;0;0;0;0;0;0;0;0;0;0
"19105";1;2025;"valr_janeiro";"PCRR";"1500";"Recursos não Vinculados de Impostos ";0;"Código Padrão";10;"Apoio Administrativo";4514;"Ações de Informática da Policia Civil";6;"Segurança Pública";122;"Administração Geral";4;50000;0;50000;0;0;0;0;0;0;50000
"19301";7;2025;"valr_janeiro";"DETRAN/RR";"1700";"Outras Transferências de Convênios ou Instrumentos Congêneres da União";0;"Código Padrão";37;"Segurança e Defesa do Cidadão";2288;"Educação Para o Trânsito";6;"Segurança Pública";131;"Comunicação Social";4;185040;0;185040;0;0;0;0;0;0;185040
"17101";6;2025;"valr_janeiro";"SEED";"1500";"Recursos não Vinculados de Impostos ";0;"Código Padrão";30;"Desenvolvimento do Desporto e do Lazer";2277;"Manutenção e Fortalecimento do Desporto";27;"Desporto e Lazer";812;"Desporto Comunitário";4;200000;0;200000;0;0;0;0;0;0;200000
"18301";1;2025;"valr_janeiro";"ITERAIMA";"1756";"Recursos de Alienação de Bens/Ativos - Administração Indireta";0;"Código Padrão";10;"Apoio Administrativo";4213;"Manutenção de Serviços de Transportes do ITERAIMA";21;"Organização Agrária";122;"Administração Geral";4;2800000;0;2800000;0;0;0;0;0;0;2800000
"26101";7;2025;"valr_janeiro";"SEJUC";"2500";"Recursos não Vinculados de Impostos - EA";0;"Código Padrão";36;"Gestão do Sistema Penitenciário";2123;"Manutenção do Sistema de Prisional";14;"Direitos à Cidadania";421;"Custódia e Reintegração Social";4;0;0;0;0;0;0;0;0;0;0
"20601";1;2025;"valr_janeiro";"FUNSESAU";"2500";"Recursos não Vinculados de Impostos - EA";1002;"Ações e Serviços Públicos de Saúde - ASPS";10;"Apoio Administrativo";4317;"Manutenção de Serviços Administrativos Gerais da SESAU";10;"Saúde";122;"Administração Geral";4;0;0;0;0;0;0;0;0;0;0
"19102";7;2025;"valr_janeiro";"CBMRR";"1700";"Outras Transferências de Convênios ou Instrumentos Congêneres da União";0;"Código Padrão";12;"Prevenção, Combate a Sinistro e Defesa Civil ao Cidadão";3495;"Ampliação das Unidades de Bombeiros Militares";6;"Segurança Pública";182;"Defesa Civil";4;0;0;0;0;0;0;0;0;0;0
"22102";1;2025;"valr_janeiro";"OE";"1500";"Recursos não Vinculados de Impostos ";0;"Código Padrão";61;"Operações Especiais";2495;"Recursos de Transferência Especiais por Emenda Parlamentar";28;"Encargos Especiais";845;"Outras Transferências";3;5299318,15;0;5299318,15;0;0;0;0;0;0;5299318,15
